ID;Domain;Solution;Solution Abb;UC;Catégory;Item;Cash Out Type;Cash In Type;Cash Out;Cash In;ASU Min;ASU MAX;Deploy Price MIN;Deploy Price MAX;Paas;Mark Up
57;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 601 - 650 - Deployment & set-up;Deployment & set-up;Deployment & set-up;647 400;861 042;601;650;630390;664410;NA#;33%
58;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 651 - 700 - Deployment & set-up;Deployment & set-up;Deployment & set-up;689 925;917 600;651;700;672915;706935;NA#;33%
59;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 701 - 750 - Deployment & set-up;Deployment & set-up;Deployment & set-up;732 450;974 159;701;750;715440;749460;NA#;33%
60;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 751 - 800 - Deployment & set-up;Deployment & set-up;Deployment & set-up;774 975;1 030 717;751;800;757965;791985;NA#;33%
61;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 801 - 850 - Deployment & set-up;Deployment & set-up;Deployment & set-up;817 500;1 087 275;801;850;800490;834510;NA#;33%
62;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 851 - 900 - Deployment & set-up;Deployment & set-up;Deployment & set-up;860 025;1 143 833;851;900;843015;877035;NA#;33%
63;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 901 - 950 - Deployment & set-up;Deployment & set-up;Deployment & set-up;902 550;1 200 392;901;950;885540;919560;NA#;33%
64;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 951 - 1000 - Deployment & set-up;Deployment & set-up;Deployment & set-up;945 075;1 256 950;951;1000;928065;962085;NA#;33%
65;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1001 - 1050 - Deployment & set-up;Deployment & set-up;Deployment & set-up;987 600;1 313 508;1001;1050;970590;1004610;NA#;33%
66;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1051 - 1100 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 030 125;1 370 066;1051;1100;1013115;1047135;NA#;33%
67;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1101 - 1150 - Deployment & set-up;Deployment & set-up;Deployment & set-up;1 115 450;1 483 549;1101;1150;1098440;1132460;NA#;33%
