;;;;;;Quantifiable impact;;;;;;NQB;;;
ID;Domain;Solution;Solution Abb;Use Case;Benefits Category;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
2096;NTT Accelerate Smart Solutions;Back to Work Package;BW;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
2097;NTT Accelerate Smart Solutions;Back to Work Package;BW;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
2156;NTT Accelerate Smart Solutions;Back to Work Package;BW;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
2157;NTT Accelerate Smart Solutions;Back to Work Package;BW; Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
41;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Quantifiable, non monetizable benefits;20%;20%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
42;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Quantifiable, non monetizable benefits;20%;20%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
224;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Retail / Malls / Small shops;Quantifiable, non monetizable benefits;-40%;-88%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
345;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Airports;Quantifiable, non monetizable benefits;-40%;-88%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
766;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Quantifiable, non monetizable benefits;-40%;-88%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
826;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Quantifiable, non monetizable benefits;-40%;-88%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
1156;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Airports;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1157;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Airports;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1216;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Parks;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1217;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Parks;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1276;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1277;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1336;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1337;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1396;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1397;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1456;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Airports;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1457;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Airports;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1516;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Parks;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1517;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Parks;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1576;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1577;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1636;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1637;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1696;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1697;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1756;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1757;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1816;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1817;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1876;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1877;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1936;NTT Accelerate Smart Solutions;Back to Work Package;BW;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1937;NTT Accelerate Smart Solutions;Back to Work Package;BW;Factory/Manufact.;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1996;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
1997;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
2056;NTT Accelerate Smart Solutions;Back to Work Package;BW;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
2057;NTT Accelerate Smart Solutions;Back to Work Package;BW;Event, Cultural & Sports Facilities;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
2116;NTT Accelerate Smart Solutions;Back to Work Package;BW;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
2117;NTT Accelerate Smart Solutions;Back to Work Package;BW;Offices;UC Revenues (Existing);NA#;NA#;NA#;NA#;5%;20%;NA#;NA#;NA#;NA#
315;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Airports;UC Revenues (Existing);NA#;NA#;NA#;NA#;11%;11%;NA#;NA#;NA#;0,00
436;NTT Accelerate Smart Solutions;Missing Person;MP;Retail / Malls / Small shops;UC Revenues (Existing);NA#;NA#;NA#;NA#;11%;11%;NA#;NA#;NA#;NA#
184;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Retail / Malls / Small shops;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
245;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
305;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Airports;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
