;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
ID;;Section;;Sub-Section;;Category;;Item;;;;ASU;;ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 10;ZONE 10
#;Item ID;ID;Name;ID;Name;ID;Name;#;Name;Ref Unit;Comments;ASU min;ASU max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max
44;Metrics-3.1-Item #36;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #36;;;;;;;;;;;;;;;;;;;;;;;;;
45;Metrics-3.1-Item #37;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #37;;;;;;;;;;;;;;;;;;;;;;;;;
46;Metrics-3.1-Item #38;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #38;;;;;;;;;;;;;;;;;;;;;;;;;
47;Metrics-3.1-Item #39;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #39;;;;;;;;;;;;;;;;;;;;;;;;;
48;Metrics-3.1-Item #40;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #40;;;;;;;;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #41;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #41;;;;;;;;;;;;;;;;;;;;;;;;;
42;Metrics-3.1-Item #42;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #42;;;;;;;;;;;;;;;;;;;;;;;;;
43;Metrics-3.1-Item #43;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #43;;;;;;;;;;;;;;;;;;;;;;;;;
44;Metrics-3.1-Item #44;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #44;;;;;;;;;;;;;;;;;;;;;;;;;
45;Metrics-3.1-Item #45;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #45;;;;;;;;;;;;;;;;;;;;;;;;;
46;Metrics-3.1-Item #46;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #46;;;;;;;;;;;;;;;;;;;;;;;;;
47;Metrics-3.1-Item #47;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #47;;;;;;;;;;;;;;;;;;;;;;;;;
48;Metrics-3.1-Item #48;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #48;;;;;;;;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #49;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #49;;;;;;;;;;;;;;;;;;;;;;;;;
50;Metrics-3.1-Item #50;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #50;;;;;;;;;;;;;;;;;;;;;;;;;
51;Metrics-3.2-Item #1;3.;Metrics Influenced items - NTT;3,2;Metrics Influenced items - NTT - Deployment & set-up;NA#;NA#;Item #1;Engineering installation;# hours ;Input GB details;;;$200;;;;;;;;;;;;;;;;;;;
52;Metrics-3.3-Item #1;3.;Metrics Influenced items - NTT;3,3;Metrics Influenced items - NTT - Opex;NA#;NA#;Item #1;Engineering installation;# hours for each month;;;;$200;;;;;;;;;;;;;;;;;;;
